[2023-05-31 01:34:14,053][core][INFO] - Step: 6100, Upper Loss: 0.0010932540753856301, Lower Loss: 0.005350365303456783, Upper Q: 0.055731214582920074, Lower Q: 10.331592559814453
[2023-05-31 01:34:15,243][core][INFO] - Step: 6200, Upper Loss: 0.0018219645135104656, Lower Loss: 0.01023932360112667, Upper Q: 0.03717120736837387, Lower Q: 10.324546813964844
[2023-05-31 01:34:16,429][core][INFO] - Step: 6300, Upper Loss: 0.0004293496022000909, Lower Loss: 0.009850559756159782, Upper Q: 0.053189199417829514, Lower Q: 10.068330764770508
[2023-05-31 01:34:17,644][core][INFO] - Step: 6400, Upper Loss: 0.0004653307842090726, Lower Loss: 0.009955580346286297, Upper Q: 0.044666506350040436, Lower Q: 9.97838020324707
[2023-05-31 01:34:18,859][core][INFO] - Step: 6500, Upper Loss: 0.0003753572818823159, Lower Loss: 0.005765645299106836, Upper Q: 0.047901298850774765, Lower Q: 10.346821784973145
[2023-05-31 01:34:20,066][core][INFO] - Step: 6600, Upper Loss: 0.00024118818691931665, Lower Loss: 0.006263028830289841, Upper Q: 0.03688375651836395, Lower Q: 9.571918487548828
[2023-05-31 01:34:21,227][core][INFO] - Step: 6700, Upper Loss: 0.00035477892379276454, Lower Loss: 0.00714675709605217, Upper Q: 0.03424500674009323, Lower Q: 10.201009750366211
[2023-05-31 01:34:22,328][core][INFO] - Step: 6800, Upper Loss: 0.00028883968479931355, Lower Loss: 0.00641357246786356, Upper Q: 0.032007671892642975, Lower Q: 10.064547538757324
[2023-05-31 01:34:23,371][core][INFO] - Step: 6900, Upper Loss: 0.00011629900109255686, Lower Loss: 0.004977618344128132, Upper Q: 0.029039006680250168, Lower Q: 10.163129806518555
[2023-05-31 01:34:24,396][core][INFO] - Step: 7000, Upper Loss: 0.00011988167534582317, Lower Loss: 0.0037008142098784447, Upper Q: 0.024080311879515648, Lower Q: 10.056168556213379
[2023-05-31 01:34:25,431][core][INFO] - Step: 7100, Upper Loss: 0.00016815362323541194, Lower Loss: 0.004841814748942852, Upper Q: 0.026102371513843536, Lower Q: 9.552387237548828
[2023-05-31 01:34:26,568][core][INFO] - Step: 7200, Upper Loss: 8.63609675434418e-05, Lower Loss: 0.003750765696167946, Upper Q: 0.028837116435170174, Lower Q: 9.718788146972656
[2023-05-31 01:34:27,649][core][INFO] - Step: 7300, Upper Loss: 0.0001452806027373299, Lower Loss: 0.002251455094665289, Upper Q: 0.021508626639842987, Lower Q: 9.277508735656738
[2023-05-31 01:34:28,708][core][INFO] - Step: 7400, Upper Loss: 0.0001605398574611172, Lower Loss: 0.0023587134201079607, Upper Q: 0.02821403741836548, Lower Q: 9.53030014038086
[2023-05-31 01:34:29,780][core][INFO] - Step: 7500, Upper Loss: 8.084889850579202e-05, Lower Loss: 0.002037628088146448, Upper Q: 0.02462560497224331, Lower Q: 9.234357833862305
[2023-05-31 01:34:30,844][core][INFO] - Step: 7600, Upper Loss: 0.00013012843555770814, Lower Loss: 0.0014201514422893524, Upper Q: 0.01841362938284874, Lower Q: 8.830103874206543
[2023-05-31 01:34:31,992][core][INFO] - Step: 7700, Upper Loss: 0.012197059579193592, Lower Loss: 0.003633389715105295, Upper Q: 0.032263997942209244, Lower Q: 8.998175621032715
[2023-05-31 01:34:33,091][core][INFO] - Step: 7800, Upper Loss: 0.00376662309281528, Lower Loss: 0.0012843136209994555, Upper Q: 0.02850685827434063, Lower Q: 8.590763092041016
[2023-05-31 01:34:34,151][core][INFO] - Step: 7900, Upper Loss: 0.00015227863332256675, Lower Loss: 0.0006514673004858196, Upper Q: 0.024890130385756493, Lower Q: 8.650259971618652
[2023-05-31 01:34:35,209][core][INFO] - Step: 8000, Upper Loss: 0.00014852595631964505, Lower Loss: 0.00041036197217181325, Upper Q: 0.023866236209869385, Lower Q: 8.17520523071289
[2023-05-31 01:34:36,280][core][INFO] - Step: 8100, Upper Loss: 0.0001683026202954352, Lower Loss: 0.0009392600622959435, Upper Q: 0.03355627506971359, Lower Q: 7.882681369781494
[2023-05-31 01:34:37,430][core][INFO] - Step: 8200, Upper Loss: 7.383929187199101e-05, Lower Loss: 0.0004969881847500801, Upper Q: 0.02544737234711647, Lower Q: 7.810779571533203
[2023-05-31 01:34:38,444][core][INFO] - Step: 8300, Upper Loss: 0.00021746911806985736, Lower Loss: 0.0003483204054646194, Upper Q: 0.018782174214720726, Lower Q: 7.676048755645752
[2023-05-31 01:34:39,488][core][INFO] - Step: 8400, Upper Loss: 7.959103095345199e-05, Lower Loss: 0.0003467286587692797, Upper Q: 0.0186455175280571, Lower Q: 7.335844993591309
